,EXT_SOURCE_3,EXT_SOURCE_2,DAYS_BIRTH,DAYS_EMPLOYED,EXT_SOURCE_1,DAYS_ID_PUBLISH,DAYS_LAST_PHONE_CHANGE,DAYS_REGISTRATION,AMT_CREDIT,AMT_ANNUITY,SK_ID_CURR,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,AMT_INCOME_TOTAL,HOUR_APPR_PROCESS_START,AMT_REQ_CREDIT_BUREAU_YEAR,OWN_CAR_AGE,OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,TARGET
215058,0.33285056416487313,0.0473663592139752,9293,,0.3631613806688846,-1942,-745.0,-717.0,485640.0,41674.5,349197,450000.0,0.04622,990000.0,18,2.0,4.0,9.0,9.0,0
3147,0.4596904504249018,0.4893594445679084,11560,-523.0,0.7603713827311186,-3907,-295.0,-5230.0,225000.0,26833.5,103679,225000.0,0.025164,225000.0,14,0.0,8.0,0.0,0.0,0
30552,,0.36054243650808987,15721,-1086.0,,-4359,-847.0,-4359.0,808650.0,26086.5,135462,675000.0,0.018029,132750.0,4,,,0.0,0.0,0
210911,0.3910549766342248,0.5727652884061889,8367,-814.0,0.1652125745384929,-1026,-603.0,-2194.0,180000.0,14220.0,344423,180000.0,0.002506,135000.0,11,3.0,,0.0,0.0,0
100363,0.5280927512030451,0.4523986173557773,24387,,,-3917,-873.0,-14166.0,254700.0,14751.0,216509,225000.0,0.010006,157500.0,12,5.0,18.0,0.0,0.0,0
132248,0.6894791426446275,0.4355415958523207,10223,-2171.0,0.22710210154566576,-2724,-407.0,-51.0,290353.5,21258.0,253388,220500.0,0.003818,135000.0,5,2.0,,4.0,3.0,0
275662,,0.6007004814502882,14384,-2396.0,,-1952,-414.0,-791.0,536917.5,22702.5,419441,463500.0,0.006629,157500.0,11,,,2.0,2.0,0
151025,0.511891801533151,0.6338309214612783,25010,,,-4100,-345.0,-6804.0,514602.0,48492.0,275062,495000.0,0.007273999999999998,315000.0,13,2.0,29.0,0.0,0.0,0
183917,0.2067786544915716,0.3815431141256121,10588,-3874.0,,-35,-1.0,-10398.0,227520.0,18103.5,313175,180000.0,0.020246,90000.0,12,0.0,,3.0,3.0,0
145835,0.7981372313187245,0.6589591130103456,17820,-2900.0,,-1348,0.0,-9708.0,697500.0,27792.0,269094,697500.0,0.026392,225000.0,12,6.0,,5.0,5.0,0
265197,0.5567274263630174,0.595860049144465,23591,-6442.0,,-4287,-342.0,-12018.0,443088.0,18900.0,407130,382500.0,0.00496,81000.0,13,0.0,,1.0,1.0,0
74897,0.501075160239048,0.5478597179853967,15592,-2846.0,,-6021,-650.0,-1400.0,543037.5,39645.0,186862,463500.0,0.0105,135000.0,10,8.0,,0.0,0.0,0
161615,0.31547215492577346,0.5183787694129388,17544,-2649.0,,-1100,-1007.0,-6937.0,1256400.0,36733.5,287360,900000.0,0.018029,180000.0,11,3.0,14.0,8.0,8.0,0
201436,,0.6339019717913126,21251,,,-4745,-308.0,-4597.0,1011955.5,42876.0,333504,904500.0,0.010006,202500.0,7,,,1.0,1.0,0
277511,,0.18485812591365847,11753,-1544.0,,-1569,-841.0,-5056.0,533304.0,32355.0,421550,405000.0,0.00733,135000.0,16,,,0.0,0.0,0
96496,0.34741822720026416,0.4100762046340992,15212,-602.0,0.4153005450101449,-4755,-2215.0,-3578.0,225000.0,11250.0,212026,225000.0,0.022625,135000.0,13,1.0,,1.0,1.0,0
6794,,0.2298612494363501,24866,,,-4502,0.0,-12426.0,135000.0,10822.5,107924,135000.0,0.016612000000000002,54000.0,9,,,0.0,0.0,0
59049,0.7517237147741489,0.5056161491051522,15548,-1653.0,,-4081,-583.0,-9549.0,270000.0,13500.0,168442,270000.0,0.010032,90000.0,7,1.0,,0.0,0.0,0
188548,,0.7671002600122306,20846,,,-4340,-460.0,-6456.0,1012500.0,50625.0,318598,1012500.0,0.072508,382500.0,11,,,0.0,0.0,0
284845,0.6279908192952864,0.5588361168871271,17221,-5118.0,,-747,-698.0,-2185.0,927252.0,27243.0,429892,774000.0,0.010556,270000.0,14,1.0,11.0,2.0,2.0,0
92004,0.5064842396679806,0.15603971434212782,22280,,,-4290,-1970.0,-9302.0,1319269.5,36409.5,206843,1152000.0,0.003813,126000.0,5,5.0,,0.0,0.0,0
23631,0.6674577419214722,0.6906453788645761,14295,-5537.0,,-5122,-678.0,-8442.0,1125000.0,47664.0,127502,1125000.0,0.072508,225000.0,8,2.0,,0.0,0.0,0
76855,0.7623356180684377,0.7419198876456325,24192,,,-4887,-2802.0,-9750.0,123637.5,8734.5,189122,112500.0,0.005313,61650.0,14,6.0,,0.0,0.0,0
290370,0.4740512892789932,0.6936321669499516,16467,-1936.0,0.4186722526154163,-20,-991.0,-1096.0,2013840.0,53253.0,436402,1800000.0,0.032561,675000.0,14,0.0,14.0,1.0,1.0,0
129800,0.4400578303966329,0.4034591907977565,13446,-144.0,,-3343,0.0,-3319.0,645889.5,26059.5,250553,490500.0,0.009657,202500.0,15,1.0,12.0,0.0,0.0,0
56266,0.2925880073368475,0.5424103148029789,14314,-5835.0,0.72898339239453,-4689,-621.0,-2496.0,562500.0,25546.5,165205,562500.0,0.028663,270000.0,11,1.0,7.0,0.0,0.0,0
251146,0.5919766183185521,0.6949039670491008,20739,-4524.0,0.8384597566959778,-4006,-20.0,-6195.0,634482.0,20596.5,390600,454500.0,0.028663,292500.0,12,2.0,17.0,5.0,5.0,0
176780,0.0963186927645401,0.005199132079344951,16749,-7766.0,0.6308411651123752,-251,-754.0,-4165.0,552555.0,28341.0,304855,477000.0,0.010556,225000.0,17,0.0,3.0,2.0,2.0,0
254691,0.6848276586890367,0.7350107478350574,24516,,,-4453,-1567.0,-6580.0,143910.0,14148.0,394717,135000.0,0.035792000000000004,67500.0,9,0.0,,0.0,0.0,0
291800,0.363945238612397,0.5638168764903432,14442,-678.0,,-1693,-203.0,-8071.0,180000.0,9000.0,438049,180000.0,0.030755,67500.0,15,1.0,30.0,1.0,1.0,0
180435,,0.669265591456424,18237,-6668.0,,-1422,-293.0,-8126.0,238500.0,28435.5,309111,238500.0,0.028663,157500.0,8,,1.0,0.0,0.0,0
294575,0.5691487713619409,0.5422474833644905,16918,-2525.0,0.6322316540862628,-381,-638.0,-369.0,1911942.0,66456.0,441270,1746000.0,0.035792000000000004,180000.0,13,0.0,,3.0,3.0,0
136328,0.8083935912119442,0.6994559541685644,16404,-8956.0,,-4609,-1384.0,-4714.0,112068.0,11047.5,258128,99000.0,0.035792000000000004,99000.0,11,0.0,2.0,0.0,0.0,0
127408,0.7544061731797895,0.7368635707432372,13077,-109.0,0.24799256813289994,-4542,-160.0,-918.0,1350000.0,67500.0,247751,1350000.0,0.04622,585000.0,14,0.0,16.0,,,0
67836,0.7838324335199619,0.6914530693409198,23895,,0.8762270471128867,-3481,-1379.0,-11013.0,225000.0,12564.0,178667,225000.0,0.04622,72000.0,19,0.0,,0.0,0.0,0
171440,0.7076993447402619,0.6448227181476635,13565,-4913.0,,-4710,-2657.0,-7399.0,1011955.5,45139.5,298689,904500.0,0.025164,270000.0,11,6.0,10.0,1.0,1.0,0
121152,0.4650692149562261,0.6323731103443364,16936,-3001.0,,-411,-142.0,-2107.0,540000.0,22878.0,240464,540000.0,0.01885,126000.0,11,2.0,,1.0,1.0,0
31851,0.6109913280868294,0.1366693973176136,18040,-847.0,,-1574,-251.0,-6827.0,324000.0,20835.0,136943,324000.0,0.006008,135000.0,9,0.0,,0.0,0.0,0
123026,,0.6241918925036816,8736,-178.0,0.4104942567394401,-1421,-302.0,-4158.0,202500.0,10125.0,242654,202500.0,0.025164,67500.0,15,,,1.0,1.0,0
198491,0.09081470898933673,0.6501681824249661,15498,-2341.0,,-3268,-1705.0,-2427.0,967500.0,31338.0,330135,967500.0,0.030755,292500.0,17,3.0,,0.0,0.0,0
33895,,0.6736842420588163,12420,-2529.0,,-2431,-476.0,-2050.0,641173.5,50787.0,139277,553500.0,0.006629,180000.0,7,,,2.0,2.0,0
211531,0.6363761710860439,0.5929129657990798,14986,-2610.0,,-4168,-1917.0,-7815.0,509400.0,40374.0,345128,450000.0,0.04622,247500.0,17,0.0,13.0,0.0,0.0,0
140681,0.5424451438613613,0.6332013646733305,15615,-285.0,,-3892,-573.0,-6623.0,364896.0,28782.0,263123,315000.0,0.072508,157500.0,11,4.0,1.0,0.0,0.0,0
300485,0.6986675550534175,0.6523931408142849,17639,-953.0,,-1170,-1484.0,-951.0,277969.5,18706.5,448119,229500.0,0.019101,90000.0,12,6.0,,0.0,0.0,0
93910,0.7958031328748403,0.4741992055356321,23488,,0.7474322417719099,-4656,-267.0,-759.0,129519.0,12744.0,209046,121500.0,0.00702,90000.0,11,1.0,,5.0,5.0,0
215579,0.511891801533151,0.08640297377906231,9156,-664.0,0.3210613238606054,-1505,-2.0,-3047.0,231813.0,12267.0,349791,193500.0,0.019101,90000.0,15,1.0,,0.0,0.0,0
183569,0.6246146584503397,0.6467335481188169,18810,-1566.0,,-2339,-561.0,-12746.0,202500.0,10125.0,312768,202500.0,0.011703,135000.0,11,1.0,,1.0,1.0,0
72081,0.2418614865234661,0.34064632157533736,9128,-1172.0,,-1592,0.0,-3649.0,309420.0,14553.0,183597,202500.0,0.022625,180000.0,15,0.0,7.0,1.0,1.0,0
176892,0.6161216908872079,0.5939048714601077,19620,-4418.0,,-3158,-1152.0,-5718.0,1179000.0,34600.5,304984,1179000.0,0.028663,216000.0,9,4.0,,0.0,0.0,0
35468,0.20092608771597087,0.6946025306189549,15986,-427.0,0.4382464607721767,-1780,0.0,-156.0,900000.0,26446.5,141079,900000.0,0.026392,270000.0,11,1.0,3.0,0.0,0.0,0
273398,0.7623356180684377,0.09096166372524372,18937,-12203.0,,-2480,0.0,-8304.0,286704.0,15138.0,416919,247500.0,0.0105,90000.0,13,0.0,,6.0,6.0,0
201972,0.6863823354047934,0.5427793657995116,8085,-643.0,0.21002932728376086,-746,0.0,-2659.0,270000.0,17383.5,334124,270000.0,0.00963,112500.0,14,3.0,,1.0,1.0,0
119639,0.8171723992791566,0.6593030334464031,14319,-335.0,0.661956734882249,-3925,-257.0,-4898.0,450000.0,22500.0,238737,450000.0,0.025164,225000.0,8,1.0,16.0,2.0,2.0,0
53864,0.6738300778602003,0.745491924896764,15557,-3463.0,0.649737212722682,-4101,-1529.0,-5451.0,675000.0,19867.5,162409,675000.0,0.026392,112500.0,16,3.0,,0.0,0.0,0
102688,0.25396280933631177,0.7044654439777217,17447,-933.0,0.7454010674201061,-949,-7.0,-1856.0,1035000.0,29659.5,219202,1035000.0,0.011657,202500.0,16,0.0,,0.0,0.0,0
152218,0.6006575372857061,0.5023526312774493,14723,-1236.0,0.2608325974078397,-5017,-1447.0,-5007.0,521280.0,26743.5,276428,450000.0,0.00823,135000.0,11,3.0,,1.0,1.0,0
27579,0.5902333386185574,0.7626089623519322,17644,-1062.0,,-1204,-1176.0,-5789.0,254700.0,17149.5,132056,225000.0,0.009175,216000.0,16,5.0,,0.0,0.0,0
11232,0.6863823354047934,0.6666708843700402,17030,-5134.0,,-575,-386.0,-8200.0,202500.0,10125.0,113088,202500.0,0.02461,112500.0,9,1.0,,3.0,3.0,0
261832,0.42765737003502935,0.5108847527034267,22921,,0.6895726028429987,-4386,-2.0,-6224.0,414229.5,12685.5,403088,342000.0,0.020246,112500.0,9,4.0,,3.0,3.0,0
142838,,0.5569267731180002,18502,-2492.0,,-2049,-1105.0,-7658.0,260568.0,25515.0,265617,247500.0,0.04622,270000.0,15,,,0.0,0.0,0
45583,0.5762088360175724,0.669875193508014,19052,-3666.0,,-2456,-175.0,-749.0,277969.5,15651.0,152792,229500.0,0.01885,67500.0,9,1.0,,0.0,0.0,0
9145,0.4507472818545589,0.14094039688834556,19990,-7478.0,,-3538,-1215.0,-9665.0,634360.5,27004.5,110632,567000.0,0.031329,90000.0,8,3.0,,2.0,2.0,0
178922,0.7726311345553628,0.2935112348806374,17871,-1471.0,0.8120186077805713,-1408,-1937.0,-1408.0,443088.0,22752.0,307337,382500.0,0.019689,135000.0,13,3.0,9.0,0.0,0.0,0
44781,,0.3454166625212622,10335,-2257.0,0.252270097988325,-891,-772.0,-722.0,288873.0,19435.5,151870,238500.0,0.020713,90000.0,10,,24.0,0.0,0.0,0
288083,0.511891801533151,0.5087917454064658,20693,-3938.0,,-1423,-2532.0,-11244.0,540000.0,27000.0,433730,540000.0,0.025164,202500.0,13,4.0,,0.0,0.0,0
229380,0.12530787842823918,0.4675577655753127,9525,-1843.0,,-2185,-1685.0,-4368.0,290088.0,21240.0,365678,229500.0,0.025164,112500.0,15,3.0,13.0,0.0,0.0,0
138692,0.7910749129911773,0.2327735312555421,11637,-2955.0,0.4176936817541578,-3310,-1125.0,-3204.0,694773.0,29565.0,260822,621000.0,0.018029,135000.0,8,2.0,,4.0,4.0,0
275419,,0.6867212445463726,16159,,,-2066,0.0,-2075.0,1546020.0,45333.0,419195,1350000.0,0.006008,247500.0,13,1.0,2.0,1.0,1.0,0
9868,,0.4759224449587649,11589,-241.0,0.4942021498799373,-926,-10.0,-2831.0,450000.0,50773.5,111484,450000.0,0.014464,112500.0,6,0.0,,0.0,0.0,0
198117,0.5495965024956946,0.7682936054956185,21381,,0.8546246476034035,-4780,-426.0,-10224.0,481500.0,20529.0,329699,481500.0,0.026392,180000.0,11,1.0,,3.0,3.0,0
34974,0.5226973172821112,0.5446184852053578,15739,-593.0,0.08746361533553748,-4162,0.0,-8214.0,629325.0,26793.0,140524,562500.0,0.00823,202500.0,11,6.0,,0.0,0.0,0
259584,0.6246146584503397,0.2889613378543912,9138,-1804.0,0.062192390571976376,-1419,-236.0,-2223.0,135000.0,14539.5,400408,135000.0,0.007120000000000001,135000.0,13,4.0,,0.0,0.0,0
62004,0.2793353208976285,0.34797733814994064,15654,-1172.0,0.3047749188923739,-963,-1149.0,-4869.0,432661.5,39811.5,171908,373500.0,0.020713,337500.0,12,3.0,14.0,0.0,0.0,0
292323,,0.3784827969251488,15514,-2495.0,0.4231990755652961,-2142,-1504.0,-2051.0,450000.0,22018.5,438642,450000.0,0.020246,81000.0,15,0.0,,3.0,3.0,0
146799,,0.1735739251618644,18123,-724.0,,-1653,-337.0,-5156.0,188685.0,13549.5,270201,157500.0,0.019689,67500.0,8,,10.0,0.0,0.0,0
250203,,0.28527771186016604,10578,-3106.0,,-525,-932.0,-406.0,314100.0,13437.0,389495,225000.0,0.001276,135000.0,5,,,4.0,4.0,0
141849,0.5620604831738043,0.3767302926469279,22837,,,-4631,-1082.0,-9840.0,700830.0,20488.5,264474,585000.0,0.010556,121500.0,11,2.0,,10.0,10.0,0
206508,0.4489622731076524,0.6672974560912882,15065,-2370.0,0.8093282970039154,-4711,-1415.0,-9150.0,381528.0,14512.5,339358,315000.0,0.019101,135000.0,15,1.0,,10.0,9.0,0
224587,0.7338145369642702,0.4224614419800526,12002,-2504.0,0.5666644837882088,-1895,-1730.0,-6055.0,180000.0,9000.0,360119,180000.0,0.018801,76500.0,13,1.0,,0.0,0.0,0
114626,0.34090642641523844,0.5242340291188478,11631,-459.0,,-3543,-1101.0,-2964.0,239850.0,25960.5,232921,225000.0,0.006670999999999999,247500.0,18,0.0,19.0,0.0,0.0,0
219231,0.8128226070575616,0.31863196006384265,15012,-2939.0,,-4688,-1101.0,-2271.0,135000.0,6750.0,353964,135000.0,0.031329,45000.0,10,1.0,,1.0,1.0,0
61059,0.5919766183185521,0.5995354919253895,9875,-1009.0,,-2369,-1581.0,-1192.0,956574.0,48969.0,170807,855000.0,0.019689,157500.0,9,1.0,,0.0,0.0,0
260354,0.4938628816996244,0.6878304319911831,19441,-371.0,0.6406051389347072,-2992,-1753.0,-8063.0,67500.0,7047.0,401298,67500.0,0.014519999999999996,180000.0,12,0.0,,1.0,1.0,0
91472,0.31703177858344445,0.4677428619512645,10721,-100.0,0.1996121494436831,-2069,-216.0,-1524.0,225000.0,10489.5,206225,225000.0,0.007273999999999998,135000.0,20,3.0,12.0,0.0,0.0,0
255376,0.5902333386185574,0.7291131899713945,21938,,,-4862,-2071.0,-2570.0,469152.0,20794.5,395493,405000.0,0.01885,157500.0,12,2.0,,0.0,0.0,0
83087,,0.6300620843240863,11633,-429.0,,-1912,-1103.0,-1161.0,333000.0,19246.5,196362,333000.0,0.018634,135000.0,16,,,1.0,1.0,0
189050,0.030753081174929562,0.44712766561523937,10464,-3449.0,,-387,-278.0,-2221.0,544491.0,21226.5,319178,454500.0,0.007120000000000001,135000.0,15,4.0,,1.0,1.0,0
